[2024-01-04 11:06:43,991][__main__][INFO] - configuration: 
 hparam_experiment:
  dataset_path: ~/datasets
  cuda: true
  batch_size: 16
  x_dim: 784
  hidden_dim: 400
  latent_dim: 20
  learning_rate: 0.001
  epochs: 5
  seed: 123

[2024-01-04 11:06:44,057][__main__][INFO] - Start training VAE...
[2024-01-04 11:06:44,062][__main__][INFO] - 0
[2024-01-04 11:06:44,801][__main__][INFO] - 100
[2024-01-04 11:06:45,581][__main__][INFO] - 200
[2024-01-04 11:06:46,314][__main__][INFO] - 300
[2024-01-04 11:06:47,038][__main__][INFO] - 400
[2024-01-04 11:06:47,770][__main__][INFO] - 500
[2024-01-04 11:06:48,497][__main__][INFO] - 600
[2024-01-04 11:06:49,249][__main__][INFO] - 700
[2024-01-04 11:06:49,963][__main__][INFO] - 800
[2024-01-04 11:06:50,746][__main__][INFO] - 900
[2024-01-04 11:06:51,481][__main__][INFO] - 1000
[2024-01-04 11:06:52,198][__main__][INFO] - 1100
[2024-01-04 11:06:52,967][__main__][INFO] - 1200
[2024-01-04 11:06:53,899][__main__][INFO] - 1300
[2024-01-04 11:06:54,802][__main__][INFO] - 1400
[2024-01-04 11:06:55,808][__main__][INFO] - 1500
[2024-01-04 11:06:56,684][__main__][INFO] - 1600
[2024-01-04 11:06:57,490][__main__][INFO] - 1700
[2024-01-04 11:06:58,232][__main__][INFO] - 1800
[2024-01-04 11:06:59,150][__main__][INFO] - 1900
[2024-01-04 11:07:00,075][__main__][INFO] - 2000
[2024-01-04 11:07:01,114][__main__][INFO] - 2100
[2024-01-04 11:07:01,988][__main__][INFO] - 2200
[2024-01-04 11:07:02,740][__main__][INFO] - 2300
[2024-01-04 11:07:03,488][__main__][INFO] - 2400
[2024-01-04 11:07:04,377][__main__][INFO] - 2500
[2024-01-04 11:07:05,124][__main__][INFO] - 2600
[2024-01-04 11:07:05,838][__main__][INFO] - 2700
[2024-01-04 11:07:06,552][__main__][INFO] - 2800
[2024-01-04 11:07:07,266][__main__][INFO] - 2900
[2024-01-04 11:07:07,984][__main__][INFO] - 3000
[2024-01-04 11:07:08,713][__main__][INFO] - 3100
[2024-01-04 11:07:09,460][__main__][INFO] - 3200
[2024-01-04 11:07:10,201][__main__][INFO] - 3300
[2024-01-04 11:07:10,968][__main__][INFO] - 3400
[2024-01-04 11:07:11,699][__main__][INFO] - 3500
[2024-01-04 11:07:12,424][__main__][INFO] - 3600
[2024-01-04 11:07:13,143][__main__][INFO] - 3700
[2024-01-04 11:07:13,505][__main__][INFO] - Epoch 1 complete!,  Average Loss: 109.02032445265026
[2024-01-04 11:07:13,509][__main__][INFO] - 0
[2024-01-04 11:07:14,286][__main__][INFO] - 100
[2024-01-04 11:07:15,021][__main__][INFO] - 200
[2024-01-04 11:07:15,734][__main__][INFO] - 300
[2024-01-04 11:07:16,486][__main__][INFO] - 400
[2024-01-04 11:07:17,223][__main__][INFO] - 500
[2024-01-04 11:07:17,991][__main__][INFO] - 600
[2024-01-04 11:07:18,730][__main__][INFO] - 700
[2024-01-04 11:07:19,470][__main__][INFO] - 800
[2024-01-04 11:07:20,206][__main__][INFO] - 900
[2024-01-04 11:07:20,992][__main__][INFO] - 1000
[2024-01-04 11:07:21,842][__main__][INFO] - 1100
[2024-01-04 11:07:22,682][__main__][INFO] - 1200
[2024-01-04 11:07:23,455][__main__][INFO] - 1300
[2024-01-04 11:07:24,201][__main__][INFO] - 1400
[2024-01-04 11:07:24,969][__main__][INFO] - 1500
[2024-01-04 11:07:25,737][__main__][INFO] - 1600
[2024-01-04 11:07:26,494][__main__][INFO] - 1700
[2024-01-04 11:07:27,279][__main__][INFO] - 1800
[2024-01-04 11:07:28,064][__main__][INFO] - 1900
[2024-01-04 11:07:28,856][__main__][INFO] - 2000
[2024-01-04 11:07:29,617][__main__][INFO] - 2100
[2024-01-04 11:07:30,396][__main__][INFO] - 2200
[2024-01-04 11:07:31,132][__main__][INFO] - 2300
